Corpus,File,Name,Verb,Age,Sent,Syntatic Object,Event or Object,Syntatic Object,Event or Object,Convergence,Comments,Comments,
Brown,adam26.xml,['Adam'],make|makes|making|maked,['P3Y3M4D'],I make a bird fly again,bird,object,bird,object,object,,,
Brown,adam26.xml,['Adam'],make|makes|making|maked,['P3Y3M4D'],and make a bird fly,bird,object,bird,object,object,,,
Brown,adam26.xml,['Adam'],make|makes|making|maked,['P3Y3M4D'],I making another bird Grant,bird,object,bird ,object,object,,,
Brown,adam26.xml,['Adam'],make|makes|making|maked,['P3Y3M4D'],who make de the bread,bread,object,bread,object,object,,,
Brown,adam26.xml,['Adam'],make|makes|making|maked,['P3Y3M4D'],I going to make a butty put on a stocking like a butty,butty,object,butty,object,object,,,
Brown,adam26.xml,['Adam'],make|makes|making|maked,['P3Y3M4D'],I gonna make a circle,circle,object,circle,object,object,,,
Brown,adam26.xml,['Adam'],make|makes|making|maked,['P3Y3M4D'],can I make a door,door,object,door,object,object,,,
Brown,adam26.xml,['Adam'],make|makes|making|maked,['P3Y3M4D'],can I put it in here and make funny man foot,foot,object,foot,object,object,,,
Brown,adam26.xml,['Adam'],make|makes|making|maked,['P3Y3M4D'],I making  gun a propeller,gun,object,propeller,object,object,,,
Brown,adam26.xml,['Adam'],make|makes|making|maked,['P3Y3M4D'],I make a hole,hole,object,hole,object,object,,,
Brown,adam26.xml,['Adam'],make|makes|making|maked,['P3Y3M4D'],I goin to make a hole for Mr Grant when I came xxx,hole,object,hole,object,object,,,
Brown,adam26.xml,['Adam'],make|makes|making|maked,['P3Y3M4D'],can I make a house to a door,house,object,house,object,object,,,
Brown,adam26.xml,['Adam'],make|makes|making|maked,['P3Y3M4D'],I making another Mr,Mr,object,Mr,object,object,,,
Brown,adam26.xml,['Adam'],make|makes|making|maked,['P3Y3M4D'],I making another Mr Grant flying,Mr Grant,object,Mr Grant,object,object,,,
Brown,adam26.xml,['Adam'],make|makes|making|maked,['P3Y3M4D'],I making another Mr Grant,Mr Grant,object,Mr Grant,object,object,,,
Brown,adam26.xml,['Adam'],make|makes|making|maked,['P3Y3M4D'],I making Mr Grant name,name,object,name,object,object,,,
Brown,adam26.xml,['Adam'],make|makes|making|maked,['P3Y3M4D'],I'm making Mr Grant fly,Mr Grant,pronoun,Mr Grant,pronoun,pronoun,,,
Brown,adam26.xml,['Adam'],make|makes|making|maked,['P3Y3M4D'],I making Mr Grant fly,Mr Grant,pronoun,Mr Grant,pronoun,pronoun,,,
Brown,adam26.xml,['Adam'],make|makes|making|maked,['P3Y3M4D'],look I making Mr Grant,Mr Grant,pronoun,Mr Grant,pronoun,pronoun,,,
Brown,adam27.xml,['Adam'],make|makes|making|maked,['P3Y3M18D'],I going to make a,a,object,a,object,object,,,
Brown,adam27.xml,['Adam'],make|makes|making|maked,['P3Y3M18D'],I make a make a tall tall building with my sewing,building,object,building,object,object,,,
Brown,adam27.xml,['Adam'],make|makes|making|maked,['P3Y3M18D'],I making some cookies and some cake,"cookie,cake",object,cookies/cake,object,object,,,
Brown,adam27.xml,['Adam'],make|makes|making|maked,['P3Y3M18D'],I going to make a fork for you,fork,object,fork,object,object,,,
Brown,adam27.xml,['Adam'],make|makes|making|maked,['P3Y3M18D'],den then I make a knot,knot,object,knot,object,object,,,
Brown,adam27.xml,['Adam'],make|makes|making|maked,['P3Y3M18D'],I make a round marble,marble,object,marble,object,object,,,
Brown,adam27.xml,['Adam'],make|makes|making|maked,['P3Y3M18D'],I going to make s,s,object,s,object,object,,,
Brown,adam27.xml,['Adam'],make|makes|making|maked,['P3Y3M18D'],I going to make a tea,tea,object,tea,object,object,,,
Brown,adam27.xml,['Adam'],make|makes|making|maked,['P3Y3M18D'],I want to make x,x,object,x,object,object,,,
Brown,adam28.xml,['Adam'],make|makes|making|maked,['P3Y4M1D'],an make him sick,sick,event,sick,event,event,,,
Brown,adam28.xml,['Adam'],make|makes|making|maked,['P3Y4M1D'],I making a boat,boat,object,boat,object,object,,,
